name,status,passed,steps,nl_statement,lean4_code
Rudin_exercise_3_7,success,True,3,Prove that the convergence of $\Sigma a_{n}$ implies the convergence of $\sum \frac{\sqrt{a_{n}}}{n}$ if $a_n\geq 0$.,"import Mathlib

/-- If (a_n) is a sequence of nonnegative reals and the series Σ_{n≥1} a_n converges,
    then the series Σ_{n≥1} sqrt(a_n)/n converges. -/
theorem Rudin_exercise_3_7 (a : ℕ → ℝ)
  (h_nonneg : ∀ n, 0 ≤ a (n+1))
  (h_sum : Summable fun n => a (n+1)) :
  Summable fun n => Real.sqrt (a (n+1)) / ((n+1) : ℝ) := by sorry
"
Rudin_exercise_4_4b,success,True,4,"Let $f$ and $g$ be continuous mappings of a metric space $X$ into a metric space $Y$, and let $E$ be a dense subset of $X$. Prove that if $g(p) = f(p)$ for all $p \in P$ then $g(p) = f(p)$ for all $p \in X$.","import Mathlib

/-- Rudin exercise 4.4(b): If f and g are continuous maps between metric spaces X and Y,
and E is dense in X, and f = g on E, then f = g on X. -/
theorem Rudin_exercise_4_4b {X Y : Type _} [MetricSpace X] [MetricSpace Y]
  {f g : X → Y} (E : Set X) (hf : Continuous f) (hg : Continuous g) (hd : Dense E)
  (hE : ∀ p ∈ E, f p = g p) : ∀ p : X, f p = g p := by sorry
"
Rudin_exercise_3_2a,success,True,10,Prove that $\lim_{n \rightarrow \infty}\sqrt{n^2 + n} -n = 1/2$.,"import Mathlib

open Filter
open Real

/-- Exercise: Prove that lim_{n→∞} sqrt(n^2 + n) - n = 1/2. -/
theorem Rudin_exercise_3_2a :
  Tendsto (fun n : ℕ => sqrt ((n : ℝ) ^ 2 + (n : ℝ)) - (n : ℝ)) atTop (nhds (1 / 2 : ℝ)) := by sorry
"
Rudin_exercise_4_3,success,True,9,Let $f$ be a continuous real function on a metric space $X$. Let $Z(f)$ (the zero set of $f$ ) be the set of all $p \in X$ at which $f(p)=0$. Prove that $Z(f)$ is closed.,"import Mathlib

/-- Let X be a metric space and f : X → ℝ a continuous function. Let Z(f) := { p ∈ X | f(p) = 0 } be the zero set of f. Prove Z(f) is closed. -/
theorem Rudin_exercise_4_3 {X : Type*} [MetricSpace X] {f : X → Real} (hf : Continuous f) : IsClosed (f ⁻¹' ({0} : Set Real)) := by sorry
"
Rudin_exercise_3_5,success,True,7,"For any two real sequences $\left\{a_{n}\right\},\left\{b_{n}\right\}$, prove that $\limsup _{n \rightarrow \infty}\left(a_{n}+b_{n}\right) \leq \limsup _{n \rightarrow \infty} a_{n}+\limsup _{n \rightarrow \infty} b_{n},$ provided the sum on the right is not of the form $\infty-\infty$.","import Mathlib

open Filter

theorem Rudin_exercise_3_5 (a b : ℕ → ℝ)
  (h : ¬ (Filter.limsup (fun n => (a n : EReal)) Filter.atTop = ⊤ ∧
         Filter.limsup (fun n => (b n : EReal)) Filter.atTop = ⊥)) :
  Filter.limsup (fun n => (a n + b n : EReal)) Filter.atTop ≤
    Filter.limsup (fun n => (a n : EReal)) Filter.atTop +
    Filter.limsup (fun n => (b n : EReal)) Filter.atTop := by
  sorry"
Rudin_exercise_4_11a,success,True,5,Suppose $f$ is a uniformly continuous mapping of a metric space $X$ into a metric space $Y$ and prove that $\left\{f\left(x_{n}\right)\right\}$ is a Cauchy sequence in $Y$ for every Cauchy sequence $\{x_n\}$ in $X$.,"import Mathlib

/-- Rudin: If f is uniformly continuous from a metric space X to a metric space Y,
then f maps Cauchy sequences in X to Cauchy sequences in Y. -/
theorem rudin_exercise_4_11a {X Y : Type _} [MetricSpace X] [MetricSpace Y] {f : X → Y}
  (hf : UniformContinuous f) (x : ℕ → X) (hx : CauchySeq x) : CauchySeq (f ∘ x) := by
  sorry
"
Rudin_exercise_2_29,success,True,5,Prove that every open set in $\mathbb{R}$ is the union of an at most countable collection of disjoint segments.,"import Mathlib

open Set

theorem Rudin_exercise_2_29 (s : Set ℝ) (hs : IsOpen s) :
  ∃ (ι : Type) (hι : Countable ι) (u : ι → Set ℝ),
    (∀ i, ∃ a b : ℝ, u i = Ioo a b) ∧ (∀ i j, i ≠ j → Disjoint (u i) (u j)) ∧ s = ⋃ i, u i := by sorry
"
Rudin_exercise_3_13,success,True,11,Prove that the Cauchy product of two absolutely convergent series converges absolutely.,"import Mathlib

open Finset

def rudin_cauchy_product (a b : ℕ → ℝ) (n : ℕ) : ℝ :=
  Finset.sum (Finset.range (n + 1)) (fun k => a k * b (n - k))

theorem rudin_exercise_3_13 (a b : ℕ → ℝ)
  (ha : Summable (fun n => abs (a n))) (hb : Summable (fun n => abs (b n))) :
  Summable (fun n => abs (rudin_cauchy_product a b n)) := by
  sorry
"
Rudin_exercise_4_8a,success,True,9,Let $f$ be a real uniformly continuous function on the bounded set $E$ in $R^{1}$. Prove that $f$ is bounded on $E$.,"import Mathlib

theorem Rudin_exercise_4_8a {E : Set ℝ} {f : ℝ → ℝ}
  (hE : ∃ R : ℝ, ∀ x, x ∈ E → |x| ≤ R)
  (hcont : UniformContinuousOn f E) :
  ∃ M : ℝ, ∀ y, y ∈ f '' E → |y| ≤ M := by
  sorry
"
Rudin_exercise_5_1,success,True,3,"Let $f$ be defined for all real $x$, and suppose that $|f(x)-f(y)| \leq (x-y)^{2}$ for all real $x$ and $y$. Prove that $f$ is constant.","import Mathlib

/-- Let f be defined for all real x, and suppose that |f(x)-f(y)| ≤ (x-y)^2 for all real x and y.
    Then f is constant. -/
theorem rudin_exercise_5_1 (f : ℝ → ℝ) (h : ∀ x y : ℝ, |f x - f y| ≤ (x - y)^2) : ∃ c : ℝ, ∀ x : ℝ, f x = c := by sorry
"
Rudin_exercise_4_21a,success,True,3,"Suppose $K$ and $F$ are disjoint sets in a metric space $X, K$ is compact, $F$ is closed. Prove that there exists $\delta>0$ such that $d(p, q)>\delta$ if $p \in K, q \in F$.","import Mathlib

variable {X : Type*} [MetricSpace X]

theorem Rudin_exercise_4_21a {K F : Set X} (hK : IsCompact K) (hF : IsClosed F) (hdisj : Disjoint K F) :
  ∃ δ : ℝ, δ > 0 ∧ ∀ p ∈ K, ∀ q ∈ F, dist p q > δ := by sorry
"
Rudin_exercise_4_1a,success,True,14,Suppose $f$ is a real function defined on $\mathbb{R}$ which satisfies $\lim_{h \rightarrow 0} f(x + h) - f(x - h) = 0$ for every $x \in \mathbb{R}$. Show that $f$ does not need to be continuous.,"import Mathlib

example : ∃ f : ℝ → ℝ,
  (∀ x : ℝ, Filter.Tendsto (fun h : ℝ => f (x + h) - f (x - h)) (Filter.atTop) (Filter.atTop)) ∧
  ¬Continuous (fun x => f x) := by sorry
"
Rudin_exercise_4_5b,success,True,5,"Show that there exist a set $E \subset \mathbb{R}$ and a real continuous function $f$ defined on $E$, such that there does not exist a continuous real function $g$ on $\mathbb{R}$ such that $g(x)=f(x)$ for all $x \in E$.","import Mathlib

open Set

/-- A discrete set accumulating only at 0: ±1/(n+1) for n : ℕ. -/
def E : Set ℝ := { x : ℝ | ∃ n : ℕ, x = 1 / (n + 1) ∨ x = -1 / (n + 1) }

/-- Define f to be 1/x on nonzero points, and set f(0) = 0 to make it a total function ℝ → ℝ. -/
noncomputable def f : ℝ → ℝ := fun x => if x = 0 then 0 else 1 / x

/-- There exist a set E and a function f continuous on E which does not admit a continuous extension to ℝ. -/
theorem Rudin_exercise_4_5b :
  ContinuousOn f E ∧ ¬ ∃ g : ℝ → ℝ, Continuous g ∧ ∀ x ∈ E, g x = f x := by sorry
"
Rudin_exercise_5_3,success,True,4,"Suppose $g$ is a real function on $R^{1}$, with bounded derivative (say $\left|g^{\prime}\right| \leq M$ ). Fix $\varepsilon>0$, and define $f(x)=x+\varepsilon g(x)$. Prove that $f$ is one-to-one if $\varepsilon$ is small enough.","import Mathlib

/-- Suppose g : ℝ → ℝ is differentiable with bounded derivative: there is M with
    |deriv g x| ≤ M for all x. Then there exists ε0 > 0 such that for all ε with
    |ε| < ε0 the map f(x) = x + ε * g(x) is injective. -/
theorem rudin_exercise_5_3 (g : ℝ → ℝ) (hg : Differentiable ℝ g) (M : ℝ) (hM : ∀ x, |deriv g x| ≤ M) :
  ∃ ε0 > 0, ∀ ε, |ε| < ε0 → Function.Injective (fun x => x + ε * g x) := by sorry
"
Rudin_exercise_4_15,success,True,7,Prove that every continuous open mapping of $R^{1}$ into $R^{1}$ is monotonic.,"import Mathlib

/-- Rudin, Ex. 4.15: Every continuous open mapping f : ℝ → ℝ is monotonic.
    In mathlib style we state the conclusion as: f is either strictly increasing or strictly decreasing. -/
theorem Rudin_exercise_4_15 (f : Real → Real) (hf : Continuous f) (hopen : IsOpenMap f) :
  StrictMono f ∨ StrictAnti f := by sorry
"
Rudin_exercise_3_21,max_steps_reached,False,24,"If $\left\{E_{n}\right\}$ is a sequence of closed nonempty and bounded sets in a complete metric space $X$, if $E_{n} \supset E_{n+1}$, and if $\lim _{n \rightarrow \infty} \operatorname{diam} E_{n}=0,$ then $\bigcap_{1}^{\infty} E_{n}$ consists of exactly one point.","import Mathlib

/-- Rudin exercise 3.21
If {E_n} is a sequence of closed nonempty and bounded sets in a complete metric space X,
if E_n ⊇ E_{n+1}, and if lim_{n→∞} diam E_n = 0, then ⋂_{n=1}^∞ E_n consists of exactly one point. -/
theorem Rudin_exercise_3_21 {α : Type _} [MetricSpace α] [CompleteSpace α]
  (E : ℕ → Set α)
  (h_closed : ∀ n, IsClosed (E n))
  (h_nonempty : ∀ n, (E n).Nonempty)
  (h_subset : ∀ n, E n ⊇ E (n+1))
  (h_diam : Filter.Tendsto (fun n => Metric.diam (E n)) Filter.atTop (𝓝 0)) :
  ∃! x, x ∈ ⋂ n, E n := by sorry
"
Rudin_exercise_5_7,success,True,7,"Suppose $f^{\prime}(x), g^{\prime}(x)$ exist, $g^{\prime}(x) \neq 0$, and $f(x)=g(x)=0$. Prove that $\lim _{t \rightarrow x} \frac{f(t)}{g(t)}=\frac{f^{\prime}(x)}{g^{\prime}(x)}.$","import Mathlib

open Filter
open Topology

/-- Suppose f'(x), g'(x) exist, g'(x) ≠ 0, and f(x)=g(x)=0. Then
    lim_{t → x} f(t)/g(t) = f'(x)/g'(x). -/
theorem Rudin_exercise_5_7 {f g : ℝ → ℝ} {x df dg : ℝ}
  (hf : HasDerivAt f df x) (hg : HasDerivAt g dg x) (hg_ne : dg ≠ 0)
  (fx0 : f x = 0) (gx0 : g x = 0) :
  Tendsto (fun t => f t / g t) (nhds x) (nhds (df / dg)) := by sorry
"
Rudin_exercise_5_17,success,True,7,"Suppose $f$ is a real, three times differentiable function on $[-1,1]$, such that $f(-1)=0, \quad f(0)=0, \quad f(1)=1, \quad f^{\prime}(0)=0 .$ Prove that $f^{(3)}(x) \geq 3$ for some $x \in(-1,1)$.","import Mathlib

open Set

/-- Rudin, Principle of Mathematical Analysis exercise 5.17 (statement only).
Suppose f : ℝ → ℝ is three times continuously differentiable on [-1,1],
with f(-1)=0, f(0)=0, f(1)=1, and f'(0)=0. Then there exists x in (-1,1)
with f^{(3)}(x) ≥ 3. -/
theorem Rudin_exercise_5_17 {f : ℝ → ℝ}
  (h : ContDiffOn ℝ 3 f (Icc (-1 : ℝ) (1 : ℝ)))
  (h_neg1 : f (-1 : ℝ) = 0)
  (h_0 : f 0 = 0)
  (h_pos1 : f (1 : ℝ) = 1)
  (h_deriv0 : deriv f 0 = 0) :
  ∃ x ∈ Ioo (-1 : ℝ) (1 : ℝ), deriv (deriv (deriv f)) x ≥ 3 := by sorry
"
Munkres_exercise_16_6,success,True,5,"Show that the countable collection \[\{(a, b) \times (c, d) \mid a < b \text{ and } c < d, \text{ and } a, b, c, d \text{ are rational}\}\] is a basis for $\mathbb{R}^2$.","import Mathlib

open Set
open TopologicalSpace

/-- The collection of open rectangles with rational endpoints in R^2. -/
def rectangle_basis : Set (Set (ℝ × ℝ)) :=
  { U | ∃ (a b c d : ℚ), (a : ℝ) < b ∧ (c : ℝ) < d ∧ U = Ioo (a : ℝ) (b : ℝ) ×ˢ Ioo (c : ℝ) (d : ℝ) }

/-- This collection is a topological basis for the product topology on R × R. -/
theorem rectangle_basis_is_topological_basis : TopologicalSpace.IsTopologicalBasis rectangle_basis := by sorry

/-- The collection is countable. -/
theorem rectangle_basis_countable : rectangle_basis.Countable := by sorry
"
Munkres_exercise_13_4a2,success,True,8,"If $\mathcal{T}_\alpha$ is a family of topologies on $X$, show that $\bigcup \mathcal{T}_\alpha$ does not need to be a topology on $X$.","import Mathlib

open Set

theorem Munkres_exercise_13_4a2 :
  ∃ (t1 t2 : TopologicalSpace (Fin 3)),
    (t1.IsOpen (Set.singleton (0 : Fin 3)) ∨ t2.IsOpen (Set.singleton (0 : Fin 3))) ∧
    (t1.IsOpen (Set.singleton (1 : Fin 3)) ∨ t2.IsOpen (Set.singleton (1 : Fin 3))) ∧
    ¬ (t1.IsOpen (Set.insert (0 : Fin 3) (Set.singleton (1 : Fin 3))) ∨
        t2.IsOpen (Set.insert (0 : Fin 3) (Set.singleton (1 : Fin 3)))) := by
  sorry
"
Munkres_exercise_13_3b,success,True,7,Show that the collection $$\mathcal{T}_\infty = \{U | X - U \text{ is infinite or empty or all of X}\}$$ does not need to be a topology on the set $X$.,"import Mathlib

open Set

/-- On X = ℕ, let T_infty be the collection of subsets U whose complement is infinite, or empty, or all of X. -/
def T_infty : Set (Set ℕ) := { U | Set.Infinite (Set.univ \ U) ∨ (Set.univ \ U) = ∅ ∨ (Set.univ \ U) = (Set.univ : Set ℕ) }

/-- Specific sets: odds and positive evens. -/
def U_odd : Set ℕ := { n | n % 2 = 1 }
def V_pos_even : Set ℕ := { n | n ≠ 0 ∧ n % 2 = 0 }

/-- Exercise (Munkres 13.3(b)). There exist U, V ∈ T_infty whose union is not in T_infty. -/
theorem Munkres_exercise_13_3b :
  ∃ U V : Set ℕ, U ∈ T_infty ∧ V ∈ T_infty ∧ (U ∪ V) ∉ T_infty := by
  sorry
"
Munkres_exercise_16_1,success,True,6,"Show that if $Y$ is a subspace of $X$, and $A$ is a subset of $Y$, then the topology $A$ inherits as a subspace of $Y$ is the same as the topology it inherits as a subspace of $X$.","import Mathlib

theorem Munkres_exercise_16_1 {X : Type*} [TopologicalSpace X] {Y A : Set X} (h : A ⊆ Y) :
  TopologicalSpace.induced (fun a : Subtype A => ⟨a.val, h a.property⟩)
    (TopologicalSpace.induced (fun y : Subtype Y => (y : X)) (inferInstance : TopologicalSpace X)) =
  TopologicalSpace.induced (fun a : Subtype A => (a : X)) (inferInstance : TopologicalSpace X) := by sorry
"
Munkres_exercise_13_4b2,success,True,6,Let $\mathcal{T}_\alpha$ be a family of topologies on $X$. Show that there is a unique largest topology on $X$ contained in all the collections $\mathcal{T}_\alpha$.,"import Mathlib

variable {X : Type _} {ι : Sort _} (T : ι → TopologicalSpace X)

theorem Munkres_exercise_13_4b2 :
  ∃! (t : TopologicalSpace X),
    (∀ i, t ≤ T i) ∧ ∀ s : TopologicalSpace X, (∀ i, s ≤ T i) → s ≤ t := by
  sorry
"
Munkres_exercise_13_5b,success,True,15,"Show that if $\mathcal{A}$ is a subbasis for a topology on $X$, then the topology generated by $\mathcal{A}$ equals the intersection of all topologies on $X$ that contain $\mathcal{A}$.","import Mathlib

-- Show that the topology generated by a subbasis equals the intersection
-- of all topologies containing that subbasis.

theorem Munkres_exercise_13_5b {X : Type _} (A : Set (Set X)) :
  TopologicalSpace.generateFrom A =
    InfSet.sInf ({ t : TopologicalSpace X | ∀ U, U ∈ A → @TopologicalSpace.IsOpen X t U } : Set (TopologicalSpace X)) := by
  sorry
"
Munkres_exercise_18_8a,success,True,9,"Let $Y$ be an ordered set in the order topology. Let $f, g: X \rightarrow Y$ be continuous. Show that the set $\{x \mid f(x) \leq g(x)\}$ is closed in $X$.","import Mathlib
open Set Filter
open OrderDual (toDual)
open scoped Topology

/-- Let $Y$ be an ordered set in the order topology. Let $f, g: X \rightarrow Y$ be continuous. Show that the set $\{x \mid f(x) \leq g(x)\}$ is closed in $X$. -/
theorem isClosed_le_ext {X Y : Type*} [TopologicalSpace X] [TopologicalSpace Y] [Preorder Y] [OrderClosedTopology Y]
  {f g : X → Y} (hf : Continuous f) (hg : Continuous g) : IsClosed {x | f x ≤ g x} := by sorry
"
Munkres_exercise_13_8a,success,True,13,"Show that the collection $\{(a,b) \mid a < b, a \text{ and } b \text{ rational}\}$ is a basis that generates the standard topology on $\mathbb{R}$.","import Mathlib

open Set

/-- Basis of open intervals with rational endpoints. -/
def rational_open_intervals : Set (Set ℝ) :=
  { I | ∃ (a b : Rat), ((a : ℝ) < (b : ℝ)) ∧ I = Set.Ioo (a : ℝ) (b : ℝ) }

/-- The collection of open intervals with rational endpoints generates the standard topology on ℝ. -/
theorem rational_open_intervals_generate_std_topology :
  TopologicalSpace.generateFrom rational_open_intervals = (inferInstance : TopologicalSpace ℝ) := by sorry
"
Munkres_exercise_18_13,success,True,8,"Let $A \subset X$; let $f: A \rightarrow Y$ be continuous; let $Y$ be Hausdorff. Show that if $f$ may be extended to a continuous function $g: \bar{A} \rightarrow Y$, then $g$ is uniquely determined by $f$.","import Mathlib

open Set

theorem Munkres_exercise_18_13 {X Y : Type*} [TopologicalSpace X] [TopologicalSpace Y] [T2Space Y]
  {A : Set X} {f : Subtype A → Y} {g1 g2 : Subtype (closure A) → Y}
  (hg1 : Continuous g1) (hg2 : Continuous g2)
  (h1 : ∀ x : Subtype A, g1 ⟨x.1, subset_closure x.2⟩ = f x)
  (h2 : ∀ x : Subtype A, g2 ⟨x.1, subset_closure x.2⟩ = f x) :
  g1 = g2 := by
  ext x
  -- uniqueness of continuous extension in a Hausdorff space; proof omitted
  sorry
"
Rudin_exercise_5_5,success,True,16,"Suppose $f$ is defined and differentiable for every $x>0$, and $f^{\prime}(x) \rightarrow 0$ as $x \rightarrow+\infty$. Put $g(x)=f(x+1)-f(x)$. Prove that $g(x) \rightarrow 0$ as $x \rightarrow+\infty$.","import Mathlib

open Filter Set

/-- Rudin, Exercise 5.5:
Suppose f is defined and differentiable for every x > 0, and f' (x) → 0 as x → +∞.
Put g(x) = f(x+1) - f(x). Then g(x) → 0 as x → +∞. -/
theorem Rudin_exercise_5_5 (f : ℝ → ℝ)
  (hfd : DifferentiableOn ℝ f (Set.Ioi 0))
  (hder : Tendsto (deriv f) Filter.atTop (nhds 0)) :
  Tendsto (fun x => f (x + 1) - f x) Filter.atTop (nhds 0) := by sorry
"
Munkres_exercise_22_2a,success,True,7,"Let $p: X \rightarrow Y$ be a continuous map. Show that if there is a continuous map $f: Y \rightarrow X$ such that $p \circ f$ equals the identity map of $Y$, then $p$ is a quotient map.","import Mathlib

open Set

variable {X Y : Type*} [TopologicalSpace X] [TopologicalSpace Y]

/-- If p : X → Y has a continuous right inverse f with p ∘ f = id, then p is a quotient map.
    We express this by the universal property: a subset U of Y is open iff its preimage under p
    is open in X. -/
theorem Munkres_exercise_22_2a (p : X → Y) (hp : Continuous p)
  (f : Y → X) (hf : Continuous f) (h : p ∘ f = id) :
  ∀ U : Set Y, IsOpen U ↔ IsOpen (p ⁻¹' U) := by sorry
"
Munkres_exercise_21_6b,success,True,6,"Define $f_{n}:[0,1] \rightarrow \mathbb{R}$ by the equation $f_{n}(x)=x^{n}$. Show that the sequence $\left(f_{n}\right)$ does not converge uniformly.","import Mathlib

open Set

/-- Define f_n : [0,1] → ℝ by f_n(x) = x^n. Show the sequence (f_n) does not converge uniformly on [0,1]. -/
theorem Munkres_exercise_21_6b :
  ¬ TendstoUniformlyOn (fun n : ℕ => fun x : ℝ => x ^ n) (fun x : ℝ => if x = 1 then (1 : ℝ) else 0) atTop (Set.Icc (0 : ℝ) (1 : ℝ)) := by sorry
"
Munkres_exercise_24_3a,success,True,3,"Let $f \colon X \rightarrow X$ be continuous. Show that if $X = [0, 1]$, there is a point $x$ such that $f(x) = x$. (The point $x$ is called a fixed point of $f$.)","import Mathlib

open Set

theorem munkres_exercise_24_3a (f : ℝ → ℝ)
  (hf : ContinuousOn f (Icc (0 : ℝ) 1))
  (h_range : f '' (Icc (0 : ℝ) 1) ⊆ Icc (0 : ℝ) 1) :
  ∃ x ∈ Icc (0 : ℝ) 1, f x = x := by sorry
"
Munkres_exercise_23_6,success,True,8,"Let $A \subset X$. Show that if $C$ is a connected subspace of $X$ that intersects both $A$ and $X-A$, then $C$ intersects $\operatorname{Bd} A$.","import Mathlib

open Set TopologicalSpace

/-
Exercise: Let A ⊆ X. Show that if C is a connected subspace of X that intersects both A and X \ A, then C intersects Bd A.
-/

variable {X : Type*} [TopologicalSpace X]

theorem munkres_exercise_23_6 {A C : Set X} (hC : IsPreconnected C) (hA : (C ∩ A).Nonempty) (hAcomp : (C ∩ (univ \ A)).Nonempty) : (C ∩ frontier A).Nonempty := by sorry
"
Munkres_exercise_23_3,success,True,4,"Let $\left\{A_{\alpha}\right\}$ be a collection of connected subspaces of $X$; let $A$ be a connected subset of $X$. Show that if $A \cap A_{\alpha} \neq \varnothing$ for all $\alpha$, then $A \cup\left(\bigcup A_{\alpha}\right)$ is connected.","import Mathlib

open Set

theorem Munkres_exercise_23_3 {X : Type*} [TopologicalSpace X] {ι : Type*}
  {A : Set X} {Aα : ι → Set X}
  (hA : IsConnected A) (hAα : ∀ i, IsConnected (Aα i)) (hint : ∀ i, (A ∩ Aα i).Nonempty) :
  IsConnected (A ∪ ⋃ i, Aα i) := by sorry
"
Munkres_exercise_22_5,success,True,8,"Let $p \colon X \rightarrow Y$ be an open map. Show that if $A$ is open in $X$, then the map $q \colon A \rightarrow p(A)$ obtained by restricting $p$ is an open map.","import Mathlib

open Set

variable {X Y : Type _} [TopologicalSpace X] [TopologicalSpace Y]

/-- Munkres Ex. 22.5: If p : X → Y is an open map and A is open in X, then the restriction
    q : A → p '' A is an open map. -/
theorem Munkres_exercise_22_5 (p : X → Y) (hp : IsOpenMap p) {A : Set X} (hA : IsOpen A) :
  IsOpenMap (fun a : Subtype A => Subtype.mk (p a.1) (Set.mem_image_of_mem p a.2)) := by
  sorry
"
Munkres_exercise_30_10,success,True,3,"Show that if $X$ is a countable product of spaces having countable dense subsets, then $X$ has a countable dense subset.","import Mathlib

open Set

theorem Munkres_exercise_30_10 {α : ℕ → Type*} [∀ n, TopologicalSpace (α n)]
  (h : ∀ n, ∃ s : Set (α n), s.Countable ∧ Dense s) :
  ∃ s : Set (∀ n, α n), s.Countable ∧ Dense s := by sorry
"
Munkres_exercise_29_4,success,True,5,"Show that $[0, 1]^\omega$ is not locally compact in the uniform topology.","import Mathlib

/-- Munkres Exercise 29.4: The countable product [0,1]^ω is not locally compact in the product/uniform topology. -/
theorem Munkres_exercise_29_4 : ¬ LocallyCompactSpace (ℕ → { x : ℝ // 0 ≤ x ∧ x ≤ 1 }) := by sorry
"
